,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target
6611,1,4,4.75,3.1,1.95,1,5,4,10,13,110,57,107,49,9,1,0,18,0,130,71,71,36
6612,1,1,2.0,3.3,4.0,5,4,1,14,7,116,67,122,63,3,5,2,15,11,123,49,75,44
6613,1,1,1.91,3.4,4.33,3,4,3,12,12,118,63,94,58,1,3,6,7,17,88,40,135,71
6614,2,2,2.88,3.3,2.4,7,0,3,21,11,113,61,116,43,9,0,1,27,11,129,65,101,55
6615,0,3,3.0,3.6,2.2,2,2,6,10,19,105,53,120,64,3,3,4,10,9,117,60,95,47
6616,1,0,1.95,3.3,4.0,4,2,4,15,16,87,34,127,64,3,4,3,8,12,122,57,125,71
6617,0,2,1.91,3.6,3.75,9,1,0,26,6,144,74,92,34,7,3,0,21,7,124,69,89,45
6618,2,2,8.5,5.25,1.33,3,5,2,8,7,84,45,101,49,10,0,0,34,7,115,57,94,40
6619,4,0,1.33,5.5,8.5,7,2,1,31,10,137,70,98,52,5,4,1,17,10,91,45,149,73
6620,0,2,2.3,3.5,3.0,3,2,5,10,15,98,56,110,45,4,2,4,13,24,100,52,116,62
6621,2,1,3.1,3.4,2.3,3,2,5,12,25,116,64,104,49,5,1,4,17,16,87,35,78,40
6622,1,2,1.73,3.6,4.75,5,4,1,17,9,83,43,128,70,3,4,3,14,17,105,48,89,49
6623,3,0,2.0,3.2,4.0,4,3,3,14,13,118,66,79,41,3,3,4,13,13,130,73,89,43
6624,2,0,1.91,3.6,4.0,2,6,2,18,18,113,46,103,47,0,2,8,4,24,93,44,101,48
6625,4,0,1.36,5.25,10.0,3,4,3,14,12,122,67,119,74,2,2,6,5,10,97,47,126,72
6626,0,4,6.5,4.33,1.57,2,2,6,5,19,93,50,112,45,4,6,0,19,12,143,78,108,57
6627,0,4,3.75,3.6,2.1,5,2,3,16,13,113,64,92,47,4,2,4,15,12,149,67,71,38
6628,1,1,2.5,3.4,3.0,4,2,4,23,18,143,82,84,37,7,1,2,19,8,183,105,93,46
6629,3,2,2.2,3.4,3.6,1,1,8,9,22,90,37,99,49,2,2,6,10,20,121,66,101,46
6630,2,2,2.2,3.4,3.6,4,2,4,11,15,96,51,102,51,5,2,3,12,10,101,47,143,74
6631,0,0,2.1,3.3,4.0,2,5,3,14,16,100,45,124,66,4,3,3,10,11,88,37,140,77
6632,2,2,1.95,3.6,4.2,5,3,2,17,12,121,51,124,66,0,2,8,9,21,116,56,121,65
6633,2,2,2.3,3.0,3.5,5,2,3,18,16,72,31,123,57,4,2,4,14,11,83,44,82,31
6634,0,1,3.4,3.1,2.3,1,0,9,8,29,102,53,143,77,2,1,7,13,19,97,44,90,48
6635,0,2,3.3,3.0,2.4,1,5,4,9,18,98,40,84,46,3,4,3,12,10,109,50,81,41
6636,4,1,1.57,3.75,6.5,6,2,2,26,8,104,53,109,55,5,2,3,11,8,107,56,92,45
6637,3,1,1.95,3.2,4.5,5,2,3,16,13,92,40,114,54,2,3,5,10,16,98,53,86,47
6638,2,0,2.0,3.3,4.0,1,3,6,8,14,106,52,98,53,5,1,4,12,13,120,62,113,50
6639,3,2,1.2,7.0,13.0,8,2,0,17,3,121,60,80,38,3,4,3,19,22,96,48,112,62
6640,0,3,3.1,3.25,2.38,1,0,9,4,20,92,47,120,61,2,3,5,12,15,93,48,121,58
6641,4,2,2.1,3.4,3.6,5,2,3,12,10,79,35,102,54,1,5,4,12,17,93,46,124,73
6642,3,0,2.75,3.0,2.7,3,4,3,12,13,104,50,76,29,5,2,3,16,12,119,54,115,59
6643,2,2,3.4,3.3,2.2,2,4,4,11,15,76,34,134,71,5,2,3,21,17,140,76,114,62
6644,1,0,1.3,5.0,12.0,9,1,0,18,1,130,71,71,40,0,6,4,9,17,110,55,115,47
6645,1,3,3.1,3.1,2.5,3,5,2,11,11,77,38,107,57,3,4,3,12,12,119,66,96,57
6646,1,1,3.3,3.5,2.1,4,2,4,11,16,100,48,138,60,5,1,4,15,12,111,67,80,44
6647,2,2,2.05,3.4,3.5,2,3,5,14,16,103,40,163,90,1,0,9,5,20,110,47,117,62
6648,2,4,3.75,3.5,1.95,8,1,1,28,13,141,70,102,60,8,1,1,24,8,145,72,89,36
6649,3,0,1.25,6.0,10.0,4,1,5,16,17,136,78,86,45,2,2,6,8,16,100,51,152,69
6650,2,3,2.5,3.3,2.75,1,4,5,5,16,103,46,119,63,6,1,3,19,13,125,71,123,46
6651,1,2,1.57,4.5,5.5,9,1,0,34,8,117,58,96,40,7,2,1,30,9,142,75,94,47
6652,2,1,2.38,3.25,3.1,5,0,5,13,12,107,56,102,59,3,1,6,8,15,99,53,107,40
6653,1,1,1.75,3.8,4.75,4,2,4,11,21,101,48,115,59,0,4,6,7,21,97,48,110,58
6654,5,1,1.4,4.33,10.0,6,2,2,16,6,110,46,83,42,3,4,3,11,8,100,50,90,43
6655,1,0,2.25,3.4,3.5,8,1,1,15,4,96,49,143,72,6,2,2,13,8,99,53,129,67
6656,1,0,2.1,3.5,3.75,5,2,3,14,10,92,52,138,63,3,3,4,16,13,128,73,120,68
6657,1,3,3.8,3.5,2.0,3,3,4,13,17,96,51,118,55,6,2,2,22,8,117,61,80,39
6658,0,3,2.3,2.9,3.75,4,4,2,11,10,97,53,66,33,5,3,2,10,9,93,49,94,50
6659,2,1,3.25,3.1,2.38,4,3,3,8,6,89,40,91,42,1,7,2,11,14,112,59,120,63
6660,5,0,1.83,3.6,4.33,4,1,5,20,16,117,68,114,54,4,4,2,11,9,76,40,113,59
6661,4,0,1.53,4.0,6.5,3,3,4,9,11,102,54,114,67,2,3,5,7,13,116,55,173,89
6662,2,1,3.3,3.3,2.25,1,6,3,8,10,113,61,100,43,4,5,1,13,8,131,76,117,65
6663,3,1,6.5,4.33,1.5,1,4,5,8,14,86,39,140,74,7,2,1,23,9,142,73,78,34
6664,3,1,2.1,3.4,3.6,3,2,5,8,17,95,54,177,85,1,4,5,9,18,86,42,146,64
6665,1,4,3.3,3.4,2.2,2,6,2,13,11,125,51,78,44,8,1,1,25,8,134,59,93,47
6666,1,1,1.62,3.8,6.0,4,5,1,13,11,115,57,91,50,2,3,5,14,15,123,66,111,58
